Time,BuildingID,FloorID,SpaceID,EquipmentID,SensorID,SensorType,SensorName,Voltage,Amp,Watts,Energy
01/01/2021 00:00,1001,179,,1224032,254899,SmartMeter,VoltageCompressor,203.46,1.6955,344.96643,0.34496643
01/01/2021 01:00,1001,179,,1224032,254899,SmartMeter,VoltageCompressor,237.33,1.97775,469.3794075,0.469379408
01/01/2021 02:00,1001,179,,1224032,254899,SmartMeter,VoltageCompressor,235.9,1.965833333,463.7400833,0.463740083
01/01/2021 03:00,1001,179,,1224032,254899,SmartMeter,VoltageCompressor,213.18,1.7765,378.71427,0.37871427
01/01/2021 04:00,1001,179,,1224032,254899,SmartMeter,VoltageCompressor,221.18,1.843166667,407.6716033,0.407671603
01/01/2021 05:00,1001,179,,1224032,254899,SmartMeter,VoltageCompressor,241.93,2.016083333,487.7510408,0.487751041
01/01/2021 06:00,1001,179,,1224032,254899,SmartMeter,VoltageCompressor,209.37,1.74475,365.2983075,0.365298308
01/01/2021 07:00,1001,179,,1224032,254899,SmartMeter,VoltageCompressor,202.1,1.684166667,340.3700833,0.340370083
01/01/2021 08:00,1001,179,,1224032,254899,SmartMeter,VoltageCompressor,229.51,1.912583333,438.9570008,0.438957001
01/01/2021 09:00,1001,179,,1224032,254899,SmartMeter,VoltageCompressor,240.2,2.001666667,480.8003333,0.480800333
01/01/2021 10:00,1001,179,,1224032,254899,SmartMeter,VoltageCompressor,211.62,1.7635,373.19187,0.37319187
01/01/2021 11:00,1001,179,,1224032,254899,SmartMeter,VoltageCompressor,206.2,1.718333333,354.3203333,0.354320333
01/01/2021 12:00,1001,179,,1224032,254899,SmartMeter,VoltageCompressor,201.56,1.679666667,338.5536133,0.338553613
01/01/2021 13:00,1001,179,,1224032,254899,SmartMeter,VoltageCompressor,221.8,1.848333333,409.9603333,0.409960333
01/01/2021 14:00,1001,179,,1224032,254899,SmartMeter,VoltageCompressor,249.27,2.07725,517.7961075,0.517796108
01/01/2021 15:00,1001,179,,1224032,254899,SmartMeter,VoltageCompressor,231.83,1.931916667,447.8762408,0.447876241
01/01/2021 16:00,1001,179,,1224032,254899,SmartMeter,VoltageCompressor,244.11,2.03425,496.5807675,0.496580768
01/01/2021 17:00,1001,179,,1224032,254899,SmartMeter,VoltageCompressor,201.97,1.683083333,339.9323408,0.339932341
